Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Status,Total_enrolled,Total_approved,Total_evaluations,Total_without_evaluations,Avg_grade,Course_Name,Marital_status_Label
1,1,1,9773,1,1,127.0,1,19,37,9,3,120.7,1,0,0,1,0,0,20.0,0,Dropout,12.0,5,13,0.0,6.6,Journalism & Communication,Single
1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18.0,0,Enrolled,12.0,3,24,0.0,11.5,Social Service,Single
1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18.0,0,Graduate,15.0,15,16,0.0,13.925625,Nursing,Single
1,1,1,9130,1,1,137.0,1,3,19,3,5,136.3,1,0,0,1,0,0,20.0,0,Graduate,10.0,8,16,3.0,12.375,Equinculture,Single
1,1,1,9853,1,1,140.0,1,19,19,7,7,124.6,1,0,0,1,0,0,18.0,0,Enrolled,14.0,12,15,0.0,12.583333333333332,Basic Education,Single
1,1,3,171,1,1,122.0,1,1,1,9,8,120.3,0,0,0,1,0,1,21.0,0,Graduate,0.0,0,0,0.0,0.0,Animation & Multimedia,Single
1,18,4,9556,1,1,127.0,1,1,38,4,7,121.8,1,0,0,1,0,0,20.0,0,Enrolled,15.0,15,23,0.0,11.43125,Oral Hygiene,Single
1,1,4,9500,1,1,142.0,1,19,19,1,1,125.5,1,0,0,1,0,0,18.0,0,Graduate,16.0,14,24,0.0,12.857142857142858,Nursing,Single
1,1,4,9670,1,1,125.0,1,1,38,4,7,114.9,1,0,0,1,0,1,19.0,0,Graduate,12.0,12,15,0.0,12.830357142857142,Advertising & Marketing,Single
1,1,1,9500,1,1,126.0,1,19,19,3,7,123.9,0,0,0,1,0,0,19.0,0,Graduate,15.0,13,17,0.0,13.70547619047619,Nursing,Single
1,1,1,9238,1,1,151.0,1,19,38,9,9,157.0,1,0,1,1,0,1,18.0,0,Enrolled,12.0,9,20,0.0,11.3,Social Service,Single
1,17,2,9238,1,1,115.0,1,19,38,7,8,116.4,1,0,0,1,0,0,21.0,0,Graduate,12.0,12,18,0.0,12.330357142857142,Social Service,Single
1,1,1,9085,1,1,138.0,1,19,19,3,3,131.0,1,0,0,1,0,0,18.0,0,Enrolled,10.0,9,16,2.0,12.833333333333332,Veterinary Nursing,Single
1,1,1,9147,1,1,135.0,1,19,1,9,9,122.1,1,0,0,1,0,0,20.0,0,Graduate,10.0,10,12,0.0,12.166666666666668,Management,Single
1,17,2,9500,1,1,127.0,1,3,3,1,10,118.8,1,0,0,1,1,0,19.0,0,Enrolled,14.0,12,16,0.0,13.325,Nursing,Single
1,44,1,9003,1,39,150.0,1,4,5,4,2,150.0,0,0,0,1,1,0,21.0,0,Enrolled,12.0,10,32,0.0,11.214285714285715,Agronomy,Single
1,51,1,9070,1,1,125.0,1,Others,3,Others,Others,130.0,1,0,0,1,1,0,20.0,0,Graduate,12.0,10,16,0.0,13.116666666666667,Communication Design,Single
1,1,1,9147,1,1,143.0,1,1,1,4,6,138.8,0,0,0,0,1,0,18.0,0,Enrolled,10.0,5,17,0.0,12.416666666666668,Management,Single
1,18,1,8014,0,1,138.0,1,19,1,9,5,134.5,1,0,0,1,0,0,19.0,0,Graduate,12.0,12,14,0.0,13.520833333333332,Social Service (Evening),Single
1,1,1,9991,0,1,130.0,1,2,37,3,9,131.4,0,0,0,1,1,0,34.0,0,Graduate,10.0,10,15,0.0,12.914285714285715,Management (Evening),Single
1,39,1,33,1,1,130.0,1,38,37,9,6,102.5,0,0,1,0,1,0,37.0,0,Dropout,14.0,1,14,0.0,5.0,Biofuel Production Tech,Single
1,39,1,9119,1,Others,133.1,1,34,37,0,0,128.8,1,0,0,1,1,0,20.0,0,Dropout,10.0,0,0,0.0,0.0,Informatics Engineering,Single
1,43,1,9147,1,1,140.0,1,37,37,6,6,122.9,0,0,0,1,0,0,20.0,0,Dropout,10.0,3,18,2.0,11.0,Management,Single
4,39,1,9991,0,1,120.0,1,19,19,9,3,113.9,1,0,0,1,0,0,39.0,0,Graduate,10.0,10,13,0.0,11.3,Management (Evening),Divorced
1,44,1,9130,1,39,120.0,6,4,4,3,6,120.0,0,0,1,0,0,0,20.0,1,Dropout,12.0,6,24,0.0,11.833333333333332,Equinculture,Single
1,1,5,9773,1,1,126.0,1,3,3,2,2,121.1,0,0,1,1,0,0,18.0,0,Dropout,11.0,4,11,0.0,6.375,Journalism & Communication,Single
1,1,2,9147,1,1,133.0,1,3,19,2,7,120.4,1,0,0,1,0,0,22.0,0,Graduate,10.0,10,10,0.0,15.3,Management,Single
1,1,6,9500,1,1,103.0,1,1,3,2,2,100.6,1,1,0,1,0,0,22.0,0,Graduate,15.0,12,18,0.0,14.135428571428571,Nursing,Single
1,17,1,9773,1,1,120.0,1,1,38,5,5,121.4,0,0,0,0,0,0,20.0,0,Dropout,12.0,9,14,0.0,13.4,Journalism & Communication,Single
1,39,1,9991,0,1,133.1,1,37,37,9,9,109.7,0,0,0,1,0,0,29.0,0,Dropout,10.0,0,0,0.0,0.0,Management (Evening),Single
1,17,1,9991,0,1,154.0,1,38,38,4,5,134.1,0,0,0,1,0,0,24.0,0,Enrolled,10.0,5,20,1.0,12.916666666666668,Management (Evening),Single
1,17,2,9238,1,1,130.0,1,19,19,9,9,127.6,1,0,0,1,0,0,18.0,0,Graduate,12.0,11,14,0.0,12.433333333333334,Social Service,Single
1,17,6,9500,1,1,132.0,1,37,19,7,7,132.4,1,0,0,1,0,1,22.0,0,Graduate,15.0,13,17,0.0,13.644047619047619,Nursing,Single
1,44,1,8014,0,39,130.0,1,1,19,9,9,133.4,0,0,0,1,0,1,21.0,0,Graduate,12.0,12,13,0.0,12.392857142857142,Social Service (Evening),Single
1,1,1,9238,1,1,139.0,1,37,38,9,9,126.1,0,0,0,1,0,1,19.0,0,Graduate,12.0,11,14,0.0,12.583333333333334,Social Service,Single
1,39,1,9254,1,1,130.0,1,19,38,9,7,113.5,0,0,0,1,0,1,24.0,0,Graduate,12.0,12,12,0.0,13.916666666666666,Tourism,Single
1,1,1,9500,1,1,139.0,1,37,38,6,6,121.3,1,0,0,1,0,1,19.0,0,Enrolled,16.0,12,20,0.0,11.833333333333334,Nursing,Single
1,1,1,9773,1,1,127.0,1,1,19,7,7,121.8,1,0,0,1,0,1,20.0,0,Enrolled,12.0,7,23,0.0,12.5,Journalism & Communication,Single
1,1,3,9130,1,1,167.0,1,37,37,90,90,159.3,0,0,0,1,0,0,19.0,0,Graduate,10.0,10,12,0.0,15.257142857142856,Equinculture,Single
1,39,1,9991,0,1,130.0,1,38,38,9,9,120.0,0,0,0,1,0,0,27.0,0,Dropout,10.0,10,22,0.0,10.8,Management (Evening),Single
1,1,1,9500,1,1,130.0,1,1,19,5,5,129.1,1,0,0,1,0,0,18.0,0,Graduate,15.0,15,19,0.0,13.319722222222222,Nursing,Single
2,7,1,9254,1,3,130.0,1,1,3,4,3,130.0,0,0,0,1,0,0,39.0,0,Dropout,12.0,0,16,0.0,0.0,Tourism,Married
1,39,1,9130,1,40,129.0,1,3,3,2,2,155.3,1,0,0,1,0,0,27.0,0,Dropout,17.0,15,22,0.0,12.95,Equinculture,Single
1,17,1,9500,1,1,141.0,1,38,38,7,10,139.8,1,0,0,1,0,0,18.0,0,Graduate,16.0,16,16,0.0,14.935,Nursing,Single
1,1,3,171,1,1,125.0,1,38,37,4,9,115.2,1,0,0,1,0,0,18.0,0,Enrolled,0.0,0,0,0.0,0.0,Animation & Multimedia,Single
1,1,2,9500,1,1,125.0,1,19,19,9,9,114.9,0,0,0,1,0,0,18.0,0,Graduate,15.0,13,20,0.0,12.677380952380952,Nursing,Single
1,44,1,9238,1,39,130.0,1,19,1,9,9,131.9,0,0,0,1,0,1,21.0,0,Graduate,12.0,12,14,0.0,12.0,Social Service,Single
1,17,3,171,1,1,133.0,1,1,37,4,7,126.0,1,0,0,1,1,1,19.0,0,Enrolled,0.0,0,0,0.0,0.0,Animation & Multimedia,Single
1,17,1,9070,1,1,127.0,1,1,1,3,4,130.2,1,0,0,1,1,0,19.0,0,Enrolled,12.0,6,14,0.0,10.7,Communication Design,Single
1,43,1,9070,1,1,116.0,1,1,1,3,3,120.9,0,0,0,1,1,0,24.0,0,Enrolled,12.0,0,12,0.0,0.0,Communication Design,Single
4,42,1,9500,1,19,133.1,1,1,1,5,5,126.0,1,0,0,1,1,0,29.0,0,Dropout,15.0,10,20,0.0,11.45,Nursing,Divorced
1,1,3,171,1,1,139.0,1,19,19,5,3,128.2,1,0,0,1,1,1,19.0,0,Graduate,0.0,0,0,0.0,0.0,Animation & Multimedia,Single
1,44,1,9003,1,39,130.0,1,19,37,9,9,130.0,1,0,0,1,1,0,23.0,0,Graduate,12.0,12,15,0.0,12.5,Agronomy,Single
1,1,3,9147,1,1,125.0,1,1,38,7,7,120.1,0,0,1,1,1,0,19.0,0,Dropout,10.0,9,18,3.0,10.975,Management,Single
1,39,1,9254,1,1,160.0,1,19,37,7,10,100.0,0,0,0,1,1,0,26.0,0,Enrolled,12.0,11,15,0.0,11.4,Tourism,Single
1,17,1,9147,1,1,148.0,1,38,37,5,5,134.0,0,0,0,1,1,0,18.0,0,Enrolled,10.0,0,14,0.0,0.0,Management,Single
1,17,1,9500,1,1,150.0,1,37,19,8,4,130.8,0,0,0,1,1,0,24.0,0,Graduate,15.0,15,16,0.0,12.8625,Nursing,Single
1,1,1,171,1,1,141.0,1,19,19,5,10,135.8,1,0,0,1,1,0,19.0,0,Dropout,0.0,0,0,0.0,0.0,Animation & Multimedia,Single
1,17,4,9254,1,1,118.0,1,38,37,5,7,111.7,1,0,0,1,1,0,18.0,0,Dropout,12.0,4,24,0.0,11.833333333333332,Tourism,Single
1,1,2,9773,1,1,142.0,1,38,38,9,9,132.9,1,0,0,1,1,0,18.0,0,Graduate,12.0,9,19,0.0,12.333333333333334,Journalism & Communication,Single
1,17,3,9147,1,1,120.0,1,19,19,4,7,115.5,1,0,1,1,1,0,18.0,0,Dropout,10.0,6,19,0.0,10.595238095238095,Management,Single
1,18,4,9254,1,1,106.0,1,19,37,7,7,106.0,1,0,0,1,1,1,21.0,0,Dropout,12.0,5,19,0.0,10.75,Tourism,Single
1,17,4,9773,1,1,121.0,1,1,19,9,8,120.3,1,0,1,1,1,1,19.0,0,Graduate,12.0,12,12,0.0,13.5,Journalism & Communication,Single
1,17,4,9500,1,1,150.0,1,38,37,9,9,130.8,0,0,0,1,1,1,22.0,0,Graduate,15.0,15,16,0.0,14.94920634920635,Nursing,Single
2,39,1,8014,0,1,120.0,1,37,37,9,6,117.0,0,0,0,1,1,0,33.0,0,Graduate,12.0,12,14,0.0,11.833333333333332,Social Service (Evening),Married
1,1,6,9853,1,1,114.0,1,19,19,9,9,110.2,1,0,0,1,1,0,20.0,0,Dropout,12.0,10,15,0.0,12.2,Basic Education,Single
1,39,1,9991,0,2,140.0,1,3,3,2,2,155.7,1,0,0,1,1,0,35.0,0,Dropout,6.0,0,1,1.0,0.0,Management (Evening),Single
1,39,1,9003,1,Others,160.0,1,3,3,4,2,180.4,0,0,1,1,1,0,24.0,0,Dropout,24.0,16,31,0.0,12.733333333333334,Agronomy,Single
1,17,1,9254,1,1,120.0,1,19,19,4,4,125.5,0,0,0,1,1,0,18.0,0,Enrolled,10.0,8,14,0.0,11.666666666666668,Tourism,Single
2,39,1,8014,0,1,130.0,1,37,37,9,6,110.0,1,0,0,1,0,0,33.0,0,Graduate,12.0,11,18,0.0,11.0,Social Service (Evening),Married
1,42,1,9500,1,1,160.0,1,37,38,9,7,161.0,1,0,0,1,0,1,22.0,0,Graduate,16.0,14,16,0.0,13.08,Nursing,Single
1,39,1,9670,1,1,120.0,1,1,19,4,5,100.0,0,0,0,1,0,1,25.0,0,Graduate,10.0,9,14,0.0,11.05,Advertising & Marketing,Single
1,17,1,9070,1,1,124.0,1,19,38,4,0,117.6,1,0,0,1,1,0,20.0,0,Graduate,12.0,11,15,1.0,10.933333333333334,Communication Design,Single
1,1,6,9147,1,1,143.0,1,38,37,9,9,128.7,1,0,0,1,1,0,23.0,0,Enrolled,10.0,9,11,0.0,13.9,Management,Single
1,43,2,9119,1,1,115.0,1,38,19,9,6,112.2,1,0,1,1,1,0,18.0,0,Enrolled,10.0,2,18,0.0,5.0,Informatics Engineering,Single
1,39,1,9500,1,1,133.1,1,1,1,4,10,100.8,0,0,0,1,1,0,24.0,0,Dropout,14.0,0,25,0.0,0.0,Nursing,Single
1,17,2,9773,1,1,133.1,41,19,1,9,9,105.0,1,0,0,0,0,0,21.0,1,Graduate,12.0,12,12,0.0,13.75,Journalism & Communication,Single
1,15,1,9130,1,1,133.1,41,1,1,4,4,100.0,0,0,0,1,0,0,26.0,1,Dropout,12.0,2,13,1.0,6.0,Equinculture,Single
2,39,1,9853,1,Others,133.1,1,37,34,0,0,115.5,0,0,0,1,0,0,39.0,0,Dropout,12.0,3,26,1.0,6.333333333333333,Basic Education,Married
2,39,1,8014,0,1,133.1,1,37,19,9,9,114.0,0,0,0,1,0,0,20.0,0,Graduate,14.0,14,18,0.0,12.104166666666668,Social Service (Evening),Married
1,15,1,9119,1,1,130.0,26,38,3,9,2,137.0,1,0,0,1,1,0,19.0,1,Enrolled,10.0,8,20,0.0,13.625,Informatics Engineering,Single
1,1,5,9773,1,1,135.0,1,37,1,5,5,124.9,1,0,0,1,0,0,18.0,0,Graduate,12.0,12,12,0.0,13.5,Journalism & Communication,Single
1,1,5,9500,1,1,132.0,1,37,37,7,7,120.3,1,0,0,1,0,1,18.0,0,Graduate,15.0,15,16,0.0,14.11388888888889,Nursing,Single
1,1,1,9085,1,1,135.0,1,1,2,9,1,134.3,1,0,0,1,0,0,19.0,0,Enrolled,10.0,10,14,2.0,14.0,Veterinary Nursing,Single
1,1,4,9500,1,1,115.0,1,3,3,2,2,111.5,1,0,1,0,0,0,19.0,0,Dropout,14.0,4,17,0.0,5.98,Nursing,Single
1,53,1,9085,1,42,130.0,1,38,38,9,9,128.8,0,0,0,1,0,0,21.0,0,Dropout,19.0,13,26,0.0,13.1375,Veterinary Nursing,Single
1,1,4,171,1,1,133.1,1,1,1,9,10,110.0,1,0,0,1,0,0,20.0,0,Graduate,0.0,0,0,0.0,0.0,Animation & Multimedia,Single
2,39,1,8014,0,1,130.0,1,37,37,6,5,113.5,1,0,0,1,0,0,36.0,0,Dropout,12.0,0,0,0.0,0.0,Social Service (Evening),Married
4,39,1,9003,1,12,133.1,1,37,37,9,6,160.0,0,0,0,1,0,0,20.0,0,Graduate,31.0,31,33,1.0,14.431174089068826,Agronomy,Divorced
1,18,1,9853,1,1,123.0,1,19,19,9,7,117.4,1,0,0,1,0,0,19.0,0,Dropout,12.0,0,0,0.0,0.0,Basic Education,Single
1,51,1,9070,1,1,130.0,1,3,1,2,8,122.2,0,0,1,1,0,0,20.0,0,Graduate,21.0,21,23,0.0,12.636363636363637,Communication Design,Single
1,1,2,9238,1,1,122.0,1,37,38,4,7,118.2,1,0,0,1,0,0,19.0,0,Dropout,12.0,0,0,0.0,0.0,Social Service,Single
1,1,1,9085,1,1,113.0,1,1,1,4,4,106.7,1,0,0,1,0,0,20.0,0,Dropout,12.0,8,32,0.0,13.725,Veterinary Nursing,Single
1,1,5,9500,1,1,111.0,1,3,4,4,3,108.2,1,0,0,1,0,0,20.0,0,Dropout,14.0,11,19,0.0,12.783333333333333,Nursing,Single
1,17,2,9853,1,1,133.1,1,19,1,9,3,107.0,1,0,0,1,0,0,20.0,0,Enrolled,14.0,9,22,0.0,12.333333333333332,Basic Education,Single
1,1,1,9238,1,1,142.0,1,37,37,6,7,136.1,1,0,0,1,0,0,18.0,0,Graduate,12.0,12,14,0.0,14.428571428571429,Social Service,Single
1,17,2,9147,1,1,123.0,1,1,38,4,7,115.3,1,0,0,1,0,1,18.0,0,Enrolled,10.0,6,20,0.0,12.0,Management,Single
1,1,1,9085,1,1,131.0,1,19,19,9,9,139.8,1,0,0,1,0,0,19.0,0,Graduate,10.0,10,11,0.0,13.100000000000001,Veterinary Nursing,Single
1,1,3,9773,1,1,158.0,1,1,38,4,7,157.0,1,0,0,1,0,0,18.0,0,Graduate,12.0,12,13,0.0,12.619047619047619,Journalism & Communication,Single
1,17,2,9500,1,1,122.0,1,37,37,9,9,131.0,1,0,0,1,0,0,18.0,0,Dropout,14.0,12,14,2.0,12.516666666666666,Nursing,Single
1,43,1,9500,1,1,130.0,1,38,38,9,5,100.0,0,0,0,1,0,0,20.0,0,Enrolled,14.0,13,18,0.0,12.308333333333334,Nursing,Single
1,17,1,9238,1,1,154.0,1,19,37,9,7,140.4,1,0,0,1,0,1,20.0,0,Enrolled,12.0,6,25,0.0,10.375,Social Service,Single
1,17,1,9147,1,1,120.0,1,19,19,3,3,113.4,0,0,0,1,0,0,20.0,0,Enrolled,10.0,6,21,0.0,10.5,Management,Single
1,1,2,9085,1,1,140.0,1,37,38,9,7,137.0,0,0,0,1,0,0,18.0,0,Graduate,10.0,10,18,2.0,12.271428571428572,Veterinary Nursing,Single
1,1,1,9147,1,1,127.0,1,2,19,4,5,121.8,0,0,0,1,0,0,18.0,0,Graduate,10.0,10,10,0.0,13.3,Management,Single
1,17,1,9254,1,1,133.1,1,1,1,4,5,131.0,1,0,0,1,0,0,21.0,0,Dropout,12.0,5,24,0.0,11.0,Tourism,Single
1,1,2,9147,1,1,120.0,1,19,19,9,7,118.6,1,0,0,1,0,0,19.0,0,Graduate,10.0,9,17,2.0,11.025,Management,Single
1,1,1,171,1,1,137.0,1,3,19,2,9,122.3,0,0,0,1,0,0,19.0,0,Dropout,0.0,0,0,0.0,0.0,Animation & Multimedia,Single
1,1,1,9670,1,1,131.0,1,38,38,9,9,127.9,0,0,0,1,0,1,19.0,0,Graduate,10.0,10,10,0.0,13.5,Advertising & Marketing,Single
1,1,1,9085,1,1,130.0,1,19,38,4,7,121.3,1,0,0,1,0,0,19.0,0,Graduate,12.0,12,28,0.0,13.183333333333334,Veterinary Nursing,Single
1,17,6,9556,1,1,122.0,1,1,1,4,5,117.1,1,0,0,1,0,0,19.0,0,Dropout,14.0,5,12,0.0,6.05,Oral Hygiene,Single
1,44,1,9085,1,39,160.0,1,37,37,9,9,160.0,1,0,0,1,0,0,20.0,0,Graduate,12.0,11,24,0.0,13.972222222222223,Veterinary Nursing,Single
1,1,1,9853,1,1,146.0,1,19,38,9,3,145.3,1,0,0,1,0,1,18.0,0,Enrolled,12.0,10,15,0.0,13.100000000000001,Basic Education,Single
1,17,3,9238,1,1,131.0,1,1,39,5,3,122.6,1,0,0,1,0,0,18.0,0,Graduate,12.0,12,13,0.0,13.333333333333332,Social Service,Single
1,17,6,9500,1,1,132.0,1,1,37,8,9,128.0,1,0,0,1,0,0,19.0,0,Graduate,15.0,15,16,0.0,14.239126984126983,Nursing,Single
1,1,3,9500,1,1,138.0,1,19,19,5,8,124.9,1,0,0,1,0,1,18.0,0,Dropout,15.0,14,18,0.0,13.490178571428572,Nursing,Single
1,17,2,9070,1,1,130.0,1,37,37,9,9,123.7,1,0,0,1,0,0,18.0,0,Graduate,12.0,12,12,0.0,12.666666666666668,Communication Design,Single
1,1,4,9147,1,1,126.0,1,1,19,4,8,120.1,1,0,0,1,0,0,19.0,0,Graduate,10.0,10,12,0.0,13.5,Management,Single
1,17,6,9500,1,1,148.0,1,1,19,3,3,131.7,1,0,0,1,0,0,19.0,0,Dropout,14.0,5,15,0.0,7.0,Nursing,Single
1,43,1,9238,1,1,130.0,1,38,37,9,7,133.2,0,0,0,1,0,0,20.0,0,Graduate,16.0,16,23,0.0,11.69047619047619,Social Service,Single
1,1,1,9670,1,1,117.0,1,1,38,3,9,109.3,0,0,1,0,0,1,19.0,0,Dropout,12.0,9,16,0.0,12.25,Advertising & Marketing,Single
1,17,1,9670,1,1,120.0,1,19,19,5,5,113.0,1,0,0,1,0,0,20.0,0,Graduate,10.0,8,12,0.0,11.85,Advertising & Marketing,Single
1,1,1,9773,1,1,153.0,1,1,1,Others,Others,157.9,0,0,1,1,0,1,18.0,0,Graduate,12.0,12,12,0.0,14.833333333333334,Journalism & Communication,Single
1,1,2,9500,1,1,117.0,1,19,1,4,7,112.1,0,0,0,1,0,1,20.0,0,Enrolled,15.0,12,18,0.0,13.04042857142857,Nursing,Single
1,18,1,9500,1,1,178.0,1,19,1,4,8,174.7,0,0,0,1,0,0,18.0,0,Graduate,15.0,15,16,0.0,17.35625,Nursing,Single
1,1,5,9500,1,1,129.0,1,37,37,9,9,128.8,1,0,0,1,0,0,19.0,0,Graduate,14.0,12,14,0.0,12.666666666666666,Nursing,Single
1,1,6,9773,1,1,116.0,1,19,1,4,4,110.1,1,0,0,1,0,1,19.0,0,Graduate,12.0,11,18,0.0,12.333333333333332,Journalism & Communication,Single
1,51,1,9147,1,1,99.0,1,3,1,3,3,99.7,1,0,1,0,0,0,22.0,0,Enrolled,10.0,0,15,0.0,0.0,Management,Single
1,1,3,9238,1,1,135.0,1,1,12,9,10,121.0,1,0,0,1,0,1,19.0,0,Graduate,12.0,12,13,0.0,11.416666666666668,Social Service,Single
1,1,3,9500,1,1,141.0,1,19,19,9,7,131.7,1,0,0,1,0,1,19.0,0,Graduate,15.0,15,21,0.0,12.968125,Nursing,Single
1,17,5,9853,1,1,132.0,1,37,38,5,6,119.1,1,0,0,1,0,1,19.0,0,Graduate,12.0,10,19,0.0,11.4,Basic Education,Single
1,1,4,9254,1,1,132.0,1,12,19,9,9,124.7,1,0,0,1,0,0,19.0,0,Dropout,10.0,0,20,0.0,0.0,Tourism,Single
1,17,1,9254,1,1,113.0,1,1,37,9,10,117.2,1,0,0,1,0,0,20.0,0,Dropout,12.0,8,20,0.0,11.433333333333334,Tourism,Single
1,1,1,9147,1,1,134.0,1,3,19,2,10,128.8,0,0,0,1,0,0,18.0,0,Graduate,10.0,10,19,0.0,13.770833333333332,Management,Single
1,1,1,9500,1,1,136.0,1,1,19,9,9,131.5,0,0,0,1,0,1,20.0,0,Graduate,15.0,13,17,0.0,14.020952380952384,Nursing,Single
1,1,1,171,1,1,136.0,1,3,37,2,8,121.7,1,0,0,1,0,0,18.0,0,Enrolled,0.0,0,0,0.0,0.0,Animation & Multimedia,Single
1,1,1,9085,1,1,129.0,1,1,38,4,7,123.4,0,0,0,1,0,0,19.0,0,Graduate,10.0,10,12,0.0,12.9,Veterinary Nursing,Single
1,17,1,9853,1,1,138.0,1,38,38,7,6,124.7,1,0,0,1,0,0,18.0,0,Enrolled,12.0,8,21,0.0,11.583333333333334,Basic Education,Single
1,1,1,9853,1,1,137.0,1,37,37,9,9,132.8,1,0,0,1,0,0,18.0,0,Graduate,12.0,11,15,0.0,12.566666666666666,Basic Education,Single
1,43,1,9853,1,1,115.0,1,3,37,2,5,108.7,1,0,0,1,0,0,21.0,0,Dropout,12.0,6,22,0.0,11.333333333333332,Basic Education,Single
1,1,1,9853,1,1,129.0,1,38,37,6,6,138.1,0,0,0,1,0,0,19.0,0,Dropout,12.0,10,18,0.0,11.75,Basic Education,Single
1,1,1,9147,1,1,131.0,1,38,38,9,9,126.5,0,0,0,1,0,1,18.0,0,Graduate,10.0,10,10,0.0,11.2,Management,Single
1,17,2,9238,1,1,133.0,1,1,37,7,9,127.4,1,0,0,1,0,1,18.0,0,Graduate,12.0,12,15,0.0,12.053571428571429,Social Service,Single
1,1,3,9238,1,1,125.0,1,19,1,9,10,123.6,1,0,0,1,0,0,20.0,0,Graduate,12.0,10,19,0.0,11.416666666666668,Social Service,Single
1,39,1,8014,0,1,120.0,1,1,19,6,8,122.0,0,0,0,1,0,1,24.0,0,Graduate,12.0,10,20,0.0,11.8,Social Service (Evening),Single
1,1,1,9670,1,1,128.0,1,19,1,4,1,118.2,0,0,0,1,0,0,19.0,0,Dropout,12.0,12,15,0.0,13.083333333333332,Advertising & Marketing,Single
1,1,1,9500,1,1,127.0,1,19,37,9,7,123.9,1,0,0,1,0,1,18.0,0,Graduate,15.0,14,21,0.0,12.808333333333334,Nursing,Single
1,1,2,9500,1,1,134.0,1,19,19,9,9,125.8,1,0,0,1,0,0,18.0,0,Graduate,15.0,15,16,0.0,15.136875,Nursing,Single
1,17,5,9853,1,1,132.0,1,12,12,4,4,123.3,1,0,0,1,0,0,21.0,0,Dropout,12.0,7,23,0.0,11.25,Basic Education,Single
1,17,2,9670,1,1,124.0,1,1,19,5,4,124.4,0,0,0,1,0,0,19.0,0,Graduate,10.0,10,10,0.0,14.2,Advertising & Marketing,Single
1,17,1,9773,1,1,133.1,1,19,37,7,7,126.0,0,0,0,1,0,1,19.0,0,Graduate,12.0,12,13,0.0,12.75,Journalism & Communication,Single
