Application_order,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Educational_special_needs,Tuition_fees_up_to_date,Scholarship_holder,Age_at_enrollment,Status,Total_enrolled,Total_approved,Total_evaluations,Total_without_evaluations,Avg_grade
1,1,116.0,120.9,0,1,0,24.0,Enrolled,12.0,0,12,0.0,0.0
1,1,133.1,126.0,0,1,0,29.0,Dropout,15.0,10,20,0.0,11.45
3,1,139.0,128.2,0,1,1,19.0,Graduate,0.0,0,0,0.0,0.0
1,1,130.0,130.0,0,1,0,23.0,Graduate,12.0,12,15,0.0,12.5
3,1,125.0,120.1,0,1,0,19.0,Dropout,10.0,9,18,3.0,10.975
1,1,160.0,100.0,0,1,0,26.0,Enrolled,12.0,11,15,0.0,11.4
1,1,148.0,134.0,0,1,0,18.0,Enrolled,10.0,0,14,0.0,0.0
1,1,150.0,130.8,0,1,0,24.0,Graduate,15.0,15,16,0.0,12.8625
1,1,141.0,135.8,0,1,0,19.0,Dropout,0.0,0,0,0.0,0.0
4,1,118.0,111.7,0,1,0,18.0,Dropout,12.0,4,24,0.0,11.833333333333332
2,1,142.0,132.9,0,1,0,18.0,Graduate,12.0,9,19,0.0,12.333333333333334
3,1,120.0,115.5,0,1,0,18.0,Dropout,10.0,6,19,0.0,10.595238095238095
4,1,106.0,106.0,0,1,1,21.0,Dropout,12.0,5,19,0.0,10.75
4,1,121.0,120.3,0,1,1,19.0,Graduate,12.0,12,12,0.0,13.5
4,1,150.0,130.8,0,1,1,22.0,Graduate,15.0,15,16,0.0,14.94920634920635
1,0,120.0,117.0,0,1,0,33.0,Graduate,12.0,12,14,0.0,11.833333333333332
6,1,114.0,110.2,0,1,0,20.0,Dropout,12.0,10,15,0.0,12.2
1,0,140.0,155.7,0,1,0,35.0,Dropout,6.0,0,1,1.0,0.0
1,1,160.0,180.4,0,1,0,24.0,Dropout,24.0,16,31,0.0,12.733333333333334
1,1,120.0,125.5,0,1,0,18.0,Enrolled,10.0,8,14,0.0,11.666666666666668
1,0,130.0,110.0,0,1,0,33.0,Graduate,12.0,11,18,0.0,11.0
1,1,160.0,161.0,0,1,1,22.0,Graduate,16.0,14,16,0.0,13.08
1,1,120.0,100.0,0,1,1,25.0,Graduate,10.0,9,14,0.0,11.05
1,1,124.0,117.6,0,1,0,20.0,Graduate,12.0,11,15,1.0,10.933333333333334
6,1,143.0,128.7,0,1,0,23.0,Enrolled,10.0,9,11,0.0,13.9
2,1,115.0,112.2,0,1,0,18.0,Enrolled,10.0,2,18,0.0,5.0
1,1,133.1,100.8,0,1,0,24.0,Dropout,14.0,0,25,0.0,0.0
2,1,133.1,105.0,0,0,0,21.0,Graduate,12.0,12,12,0.0,13.75
1,1,133.1,100.0,0,1,0,26.0,Dropout,12.0,2,13,1.0,6.0
1,1,133.1,115.5,0,1,0,39.0,Dropout,12.0,3,26,1.0,6.333333333333333
1,0,133.1,114.0,0,1,0,20.0,Graduate,14.0,14,18,0.0,12.104166666666668
1,1,130.0,137.0,0,1,0,19.0,Enrolled,10.0,8,20,0.0,13.625
5,1,135.0,124.9,0,1,0,18.0,Graduate,12.0,12,12,0.0,13.5
5,1,132.0,120.3,0,1,1,18.0,Graduate,15.0,15,16,0.0,14.11388888888889
1,1,135.0,134.3,0,1,0,19.0,Enrolled,10.0,10,14,2.0,14.0
4,1,115.0,111.5,0,0,0,19.0,Dropout,14.0,4,17,0.0,5.98
1,1,130.0,128.8,0,1,0,21.0,Dropout,19.0,13,26,0.0,13.1375
4,1,133.1,110.0,0,1,0,20.0,Graduate,0.0,0,0,0.0,0.0
1,0,130.0,113.5,0,1,0,36.0,Dropout,12.0,0,0,0.0,0.0
1,1,133.1,160.0,0,1,0,20.0,Graduate,31.0,31,33,1.0,14.431174089068826
1,1,123.0,117.4,0,1,0,19.0,Dropout,12.0,0,0,0.0,0.0
1,1,130.0,122.2,0,1,0,20.0,Graduate,21.0,21,23,0.0,12.636363636363637
2,1,122.0,118.2,0,1,0,19.0,Dropout,12.0,0,0,0.0,0.0
1,1,113.0,106.7,0,1,0,20.0,Dropout,12.0,8,32,0.0,13.725
5,1,111.0,108.2,0,1,0,20.0,Dropout,14.0,11,19,0.0,12.783333333333333
2,1,133.1,107.0,0,1,0,20.0,Enrolled,14.0,9,22,0.0,12.333333333333332
1,1,142.0,136.1,0,1,0,18.0,Graduate,12.0,12,14,0.0,14.428571428571429
2,1,123.0,115.3,0,1,1,18.0,Enrolled,10.0,6,20,0.0,12.0
1,1,131.0,139.8,0,1,0,19.0,Graduate,10.0,10,11,0.0,13.100000000000001
3,1,158.0,157.0,0,1,0,18.0,Graduate,12.0,12,13,0.0,12.619047619047619
2,1,122.0,131.0,0,1,0,18.0,Dropout,14.0,12,14,2.0,12.516666666666666
1,1,130.0,100.0,0,1,0,20.0,Enrolled,14.0,13,18,0.0,12.308333333333334
1,1,154.0,140.4,0,1,1,20.0,Enrolled,12.0,6,25,0.0,10.375
1,1,120.0,113.4,0,1,0,20.0,Enrolled,10.0,6,21,0.0,10.5
2,1,140.0,137.0,0,1,0,18.0,Graduate,10.0,10,18,2.0,12.271428571428572
1,1,127.0,121.8,0,1,0,18.0,Graduate,10.0,10,10,0.0,13.3
1,1,133.1,131.0,0,1,0,21.0,Dropout,12.0,5,24,0.0,11.0
2,1,120.0,118.6,0,1,0,19.0,Graduate,10.0,9,17,2.0,11.025
1,1,137.0,122.3,0,1,0,19.0,Dropout,0.0,0,0,0.0,0.0
1,1,131.0,127.9,0,1,1,19.0,Graduate,10.0,10,10,0.0,13.5
1,1,130.0,121.3,0,1,0,19.0,Graduate,12.0,12,28,0.0,13.183333333333334
6,1,122.0,117.1,0,1,0,19.0,Dropout,14.0,5,12,0.0,6.05
1,1,160.0,160.0,0,1,0,20.0,Graduate,12.0,11,24,0.0,13.972222222222223
1,1,146.0,145.3,0,1,1,18.0,Enrolled,12.0,10,15,0.0,13.100000000000001
3,1,131.0,122.6,0,1,0,18.0,Graduate,12.0,12,13,0.0,13.333333333333332
6,1,132.0,128.0,0,1,0,19.0,Graduate,15.0,15,16,0.0,14.239126984126983
3,1,138.0,124.9,0,1,1,18.0,Dropout,15.0,14,18,0.0,13.490178571428572
2,1,130.0,123.7,0,1,0,18.0,Graduate,12.0,12,12,0.0,12.666666666666668
4,1,126.0,120.1,0,1,0,19.0,Graduate,10.0,10,12,0.0,13.5
6,1,148.0,131.7,0,1,0,19.0,Dropout,14.0,5,15,0.0,7.0
1,1,130.0,133.2,0,1,0,20.0,Graduate,16.0,16,23,0.0,11.69047619047619
1,1,117.0,109.3,0,0,1,19.0,Dropout,12.0,9,16,0.0,12.25
1,1,120.0,113.0,0,1,0,20.0,Graduate,10.0,8,12,0.0,11.85
1,1,153.0,157.9,0,1,1,18.0,Graduate,12.0,12,12,0.0,14.833333333333334
2,1,117.0,112.1,0,1,1,20.0,Enrolled,15.0,12,18,0.0,13.04042857142857
1,1,178.0,174.7,0,1,0,18.0,Graduate,15.0,15,16,0.0,17.35625
5,1,129.0,128.8,0,1,0,19.0,Graduate,14.0,12,14,0.0,12.666666666666666
6,1,116.0,110.1,0,1,1,19.0,Graduate,12.0,11,18,0.0,12.333333333333332
1,1,99.0,99.7,0,0,0,22.0,Enrolled,10.0,0,15,0.0,0.0
3,1,135.0,121.0,0,1,1,19.0,Graduate,12.0,12,13,0.0,11.416666666666668
3,1,141.0,131.7,0,1,1,19.0,Graduate,15.0,15,21,0.0,12.968125
5,1,132.0,119.1,0,1,1,19.0,Graduate,12.0,10,19,0.0,11.4
4,1,132.0,124.7,0,1,0,19.0,Dropout,10.0,0,20,0.0,0.0
1,1,113.0,117.2,0,1,0,20.0,Dropout,12.0,8,20,0.0,11.433333333333334
1,1,134.0,128.8,0,1,0,18.0,Graduate,10.0,10,19,0.0,13.770833333333332
1,1,136.0,131.5,0,1,1,20.0,Graduate,15.0,13,17,0.0,14.020952380952384
1,1,136.0,121.7,0,1,0,18.0,Enrolled,0.0,0,0,0.0,0.0
1,1,129.0,123.4,0,1,0,19.0,Graduate,10.0,10,12,0.0,12.9
1,1,138.0,124.7,0,1,0,18.0,Enrolled,12.0,8,21,0.0,11.583333333333334
1,1,137.0,132.8,0,1,0,18.0,Graduate,12.0,11,15,0.0,12.566666666666666
1,1,115.0,108.7,0,1,0,21.0,Dropout,12.0,6,22,0.0,11.333333333333332
1,1,129.0,138.1,0,1,0,19.0,Dropout,12.0,10,18,0.0,11.75
1,1,131.0,126.5,0,1,1,18.0,Graduate,10.0,10,10,0.0,11.2
2,1,133.0,127.4,0,1,1,18.0,Graduate,12.0,12,15,0.0,12.053571428571429
3,1,125.0,123.6,0,1,0,20.0,Graduate,12.0,10,19,0.0,11.416666666666668
1,0,120.0,122.0,0,1,1,24.0,Graduate,12.0,10,20,0.0,11.8
1,1,128.0,118.2,0,1,0,19.0,Dropout,12.0,12,15,0.0,13.083333333333332
1,1,127.0,123.9,0,1,1,18.0,Graduate,15.0,14,21,0.0,12.808333333333334
2,1,134.0,125.8,0,1,0,18.0,Graduate,15.0,15,16,0.0,15.136875
5,1,132.0,123.3,0,1,0,21.0,Dropout,12.0,7,23,0.0,11.25
2,1,124.0,124.4,0,1,0,19.0,Graduate,10.0,10,10,0.0,14.2
1,1,133.1,126.0,0,1,1,19.0,Graduate,12.0,12,13,0.0,12.75
1,1,170.0,170.0,0,1,0,20.0,Enrolled,7.0,0,1,0.0,0.0
3,1,125.0,121.5,0,1,0,19.0,Graduate,12.0,9,22,0.0,11.333333333333332
1,1,130.0,130.0,0,1,0,29.0,Graduate,16.0,14,16,0.0,14.257142857142856
1,1,125.0,117.0,0,1,0,21.0,Dropout,12.0,5,25,0.0,11.666666666666668
1,1,130.0,130.0,0,1,0,28.0,Enrolled,10.0,8,24,1.0,10.875
2,1,133.1,108.0,0,1,0,20.0,Graduate,15.0,15,16,0.0,13.009821428571428
1,1,131.0,132.3,0,1,0,19.0,Graduate,14.0,12,14,0.0,11.683333333333332
1,0,150.0,148.0,0,1,0,26.0,Graduate,12.0,8,18,0.0,11.833333333333332
2,1,125.0,122.6,0,0,0,20.0,Dropout,12.0,10,14,0.0,12.458333333333332
1,1,131.0,123.0,0,1,1,18.0,Enrolled,10.0,7,12,0.0,12.583333333333332
1,1,130.0,102.5,0,1,0,27.0,Graduate,12.0,10,19,0.0,12.6
2,1,123.0,113.3,0,1,0,20.0,Dropout,14.0,8,16,0.0,11.95
5,1,141.0,133.0,0,1,0,18.0,Dropout,12.0,10,20,0.0,11.4
1,1,140.0,140.0,0,1,0,33.0,Dropout,15.0,12,18,0.0,14.466666666666667
1,1,140.0,128.3,0,1,0,35.0,Graduate,25.0,40,40,0.0,12.704260651629074
1,0,140.0,140.0,0,1,1,26.0,Enrolled,12.0,12,14,1.0,12.916666666666666
1,1,133.1,104.0,0,0,0,27.0,Dropout,12.0,5,12,0.0,6.0
3,1,131.0,122.3,0,0,0,19.0,Dropout,12.0,6,12,0.0,6.083333333333333
2,1,143.0,135.0,0,1,0,20.0,Dropout,12.0,0,0,0.0,0.0
2,1,132.0,119.1,0,0,0,20.0,Dropout,10.0,6,18,0.0,10.285714285714285
1,1,143.0,126.6,0,0,0,21.0,Enrolled,16.0,12,30,0.0,10.75
3,1,141.0,129.0,0,1,1,18.0,Graduate,14.0,12,14,0.0,13.05
1,1,133.1,162.3,0,1,0,24.0,Dropout,12.0,2,16,0.0,5.5
4,1,148.0,163.4,0,1,0,20.0,Graduate,12.0,12,13,0.0,11.75
1,1,125.0,121.5,0,1,1,21.0,Graduate,12.0,12,13,0.0,12.25
1,0,120.0,122.8,0,1,0,23.0,Enrolled,11.0,3,25,0.0,10.0
1,1,140.0,118.0,0,1,0,24.0,Dropout,10.0,0,10,0.0,0.0
1,1,139.0,134.0,0,1,0,21.0,Dropout,12.0,0,0,0.0,0.0
4,1,142.0,129.8,0,1,0,18.0,Graduate,16.0,14,16,0.0,12.242857142857144
1,0,130.0,152.0,0,1,0,27.0,Dropout,10.0,0,0,0.0,0.0
6,1,126.0,122.8,0,1,0,18.0,Graduate,16.0,16,16,0.0,12.93375
1,1,150.0,150.0,0,1,0,35.0,Dropout,10.0,0,0,0.0,0.0
1,1,130.0,131.8,0,1,0,18.0,Graduate,14.0,14,17,0.0,13.5
1,1,120.0,105.9,0,1,0,35.0,Enrolled,6.0,6,7,0.0,11.575000000000001
1,1,138.0,132.1,0,1,0,19.0,Graduate,10.0,8,22,2.0,14.041666666666668
4,1,127.0,127.4,0,1,0,20.0,Graduate,12.0,12,14,0.0,11.25
4,1,140.0,129.5,0,1,0,18.0,Graduate,16.0,14,16,0.0,12.324285714285711
1,1,130.0,126.7,0,1,0,21.0,Graduate,12.0,12,13,0.0,11.94047619047619
2,1,128.0,116.5,0,1,1,18.0,Graduate,12.0,9,22,0.0,11.196428571428571
1,1,132.0,119.1,0,1,0,18.0,Graduate,12.0,8,18,0.0,10.875
2,1,149.0,126.5,0,1,0,18.0,Graduate,16.0,14,16,0.0,12.914285714285713
4,1,155.0,149.8,0,1,1,18.0,Graduate,12.0,12,12,0.0,14.0
1,1,120.0,115.1,0,1,0,19.0,Graduate,12.0,11,17,0.0,13.62857142857143
1,1,133.1,124.5,0,1,1,36.0,Dropout,12.0,11,13,0.0,13.257142857142856
2,1,131.0,128.3,0,1,1,18.0,Graduate,16.0,14,16,0.0,12.642857142857142
1,1,149.0,136.0,0,1,1,18.0,Graduate,14.0,12,14,0.0,12.916666666666666
1,1,140.0,140.0,0,1,1,20.0,Graduate,12.0,12,16,0.0,15.741071428571429
1,0,133.1,126.3,0,1,1,26.0,Dropout,10.0,0,15,0.0,0.0
1,1,122.0,126.9,0,1,0,21.0,Graduate,12.0,12,15,0.0,11.857142857142858
1,1,130.0,145.0,0,1,0,25.0,Enrolled,15.0,14,19,0.0,12.71875
1,1,121.0,115.8,0,1,1,19.0,Graduate,10.0,10,12,0.0,11.6
1,0,120.0,100.0,0,1,0,24.0,Dropout,12.0,1,17,6.0,5.0
1,0,133.1,102.5,0,1,1,27.0,Dropout,12.0,1,29,0.0,5.0
1,1,121.0,131.5,0,1,0,21.0,Dropout,10.0,2,19,1.0,6.75
1,1,133.0,147.0,0,1,1,18.0,Graduate,10.0,7,15,0.0,12.666666666666668
4,1,134.0,122.5,1,1,1,19.0,Graduate,12.0,12,12,0.0,13.916666666666668
3,1,115.0,117.5,0,1,0,18.0,Dropout,12.0,6,22,0.0,11.875
1,1,127.0,150.0,0,1,1,19.0,Graduate,15.0,12,18,0.0,13.021428571428569
1,1,135.0,127.5,0,1,1,19.0,Graduate,15.0,13,17,0.0,14.327083333333334
1,0,140.0,140.0,0,1,0,33.0,Graduate,11.0,11,12,0.0,15.566666666666666
1,1,130.0,130.0,0,1,0,20.0,Graduate,10.0,10,11,0.0,12.4
1,1,135.0,133.3,0,1,1,20.0,Graduate,12.0,12,13,0.0,12.428571428571429
2,1,140.0,97.0,0,1,0,28.0,Dropout,10.0,0,10,0.0,0.0
1,1,120.0,112.0,0,1,1,19.0,Graduate,16.0,14,30,0.0,11.571428571428571
2,1,140.0,123.6,0,1,0,18.0,Graduate,12.0,9,16,0.0,12.761904761904763
1,1,133.1,130.5,0,1,0,38.0,Dropout,12.0,0,0,0.0,0.0
2,1,135.0,133.3,0,1,0,19.0,Graduate,10.0,10,10,0.0,13.1
1,1,123.0,132.1,0,1,1,21.0,Graduate,12.0,10,17,0.0,11.5
1,1,133.1,100.0,0,1,0,21.0,Dropout,10.0,4,24,3.0,13.5
1,1,154.0,140.4,0,1,1,22.0,Graduate,12.0,11,12,0.0,12.8
1,1,148.0,141.7,0,1,1,18.0,Graduate,12.0,11,15,0.0,13.283333333333333
2,1,133.0,119.7,1,1,1,18.0,Graduate,12.0,12,18,0.0,11.452380952380953
1,1,126.0,122.5,0,0,0,25.0,Dropout,10.0,8,24,2.0,13.875
1,1,133.1,140.0,0,0,0,24.0,Dropout,12.0,6,25,0.0,11.041666666666668
3,1,125.0,119.4,0,1,0,19.0,Enrolled,14.0,13,18,0.0,11.966964285714287
1,1,145.0,155.0,0,1,0,24.0,Enrolled,30.0,20,34,0.0,13.232323232323232
2,1,118.0,119.1,0,1,1,20.0,Graduate,10.0,10,10,0.0,12.6
1,1,120.0,122.7,0,0,0,25.0,Dropout,10.0,0,14,0.0,0.0
1,1,127.0,117.9,0,1,1,20.0,Graduate,20.0,19,25,0.0,12.631818181818183
1,1,130.0,130.0,0,1,0,23.0,Graduate,16.0,16,16,0.0,13.22
3,1,129.0,120.0,0,1,1,19.0,Graduate,16.0,14,16,0.0,13.151428571428571
1,1,130.0,130.0,0,0,0,29.0,Dropout,12.0,6,21,0.0,12.041666666666668
3,1,121.0,116.8,0,1,0,21.0,Graduate,12.0,10,16,0.0,11.791666666666668
1,1,136.0,123.4,0,1,1,18.0,Graduate,12.0,11,23,0.0,13.696428571428571
3,1,125.0,125.4,0,1,0,19.0,Enrolled,12.0,10,13,0.0,12.4
3,1,131.0,127.2,0,1,1,18.0,Dropout,12.0,12,12,0.0,13.916666666666668
1,1,122.0,103.4,0,1,0,19.0,Graduate,10.0,10,12,0.0,13.7
1,1,127.0,123.2,0,1,0,18.0,Enrolled,12.0,1,24,0.0,5.5
1,1,136.0,124.1,0,1,0,18.0,Graduate,10.0,10,14,0.0,11.600000000000001
1,1,133.1,99.5,0,0,1,37.0,Dropout,14.0,1,25,0.0,8.0
1,0,127.0,124.9,0,1,0,29.0,Graduate,10.0,10,24,3.0,12.952380952380953
3,1,116.0,110.8,0,1,0,18.0,Enrolled,12.0,12,12,0.0,12.166666666666668
1,1,121.0,118.9,0,1,1,19.0,Graduate,12.0,10,17,0.0,12.166666666666666
1,1,124.0,118.8,0,0,0,22.0,Dropout,17.0,8,24,0.0,12.416666666666668
1,1,131.0,137.0,0,1,1,20.0,Graduate,12.0,11,18,0.0,10.883333333333333
1,0,100.0,100.0,0,1,0,34.0,Dropout,12.0,0,0,0.0,0.0
1,1,130.0,120.0,0,0,0,30.0,Dropout,24.0,14,36,2.0,11.958333333333332
1,1,135.0,122.8,0,1,0,18.0,Graduate,12.0,12,14,0.0,14.0
1,1,130.0,121.6,0,1,0,18.0,Graduate,12.0,12,12,0.0,12.416666666666668
2,1,146.0,149.2,0,1,0,18.0,Graduate,12.0,7,21,0.0,11.958333333333332
4,1,146.0,140.0,0,1,0,18.0,Graduate,16.0,14,16,0.0,14.828571428571427
2,1,154.0,133.4,0,1,1,19.0,Graduate,12.0,10,15,0.0,12.100000000000001
1,1,137.0,126.2,0,1,1,19.0,Graduate,12.0,12,14,0.0,12.75
5,1,151.0,127.8,0,1,1,18.0,Graduate,16.0,14,16,0.0,13.671428571428573
1,1,150.0,150.0,0,1,1,21.0,Graduate,12.0,11,17,0.0,12.733333333333334
2,1,121.0,113.7,0,0,0,20.0,Dropout,10.0,3,22,0.0,11.5
1,1,122.0,117.8,0,1,0,20.0,Graduate,10.0,10,18,0.0,12.916666666666668
1,1,143.0,136.7,0,1,0,19.0,Graduate,15.0,15,16,0.0,13.11
1,1,152.0,144.7,0,1,0,20.0,Graduate,12.0,12,15,0.0,14.964285714285715
3,1,145.0,139.8,0,1,0,18.0,Graduate,15.0,15,15,0.0,14.536607142857141
1,1,120.0,113.7,0,1,0,20.0,Dropout,12.0,8,18,0.0,10.833333333333332
1,1,140.0,140.0,0,0,0,29.0,Dropout,16.0,12,28,6.0,12.377777777777776
1,1,143.0,142.3,0,1,1,18.0,Enrolled,15.0,15,15,0.0,13.78607142857143
1,1,129.0,119.6,0,1,1,20.0,Graduate,15.0,14,19,0.0,13.908303571428572
2,1,139.0,123.7,0,1,1,22.0,Graduate,10.0,8,16,2.0,11.7
1,0,133.1,143.0,0,1,1,20.0,Graduate,12.0,11,16,0.0,14.166666666666666
1,0,127.0,100.1,0,1,0,31.0,Graduate,10.0,10,10,0.0,13.9
1,1,126.0,119.4,0,1,1,21.0,Graduate,12.0,11,13,0.0,13.316666666666666
1,0,128.0,122.1,0,1,0,21.0,Graduate,12.0,11,18,0.0,12.32857142857143
1,1,100.0,100.0,0,1,0,24.0,Graduate,12.0,12,12,0.0,13.0
1,1,123.0,113.9,0,1,0,18.0,Enrolled,12.0,12,14,0.0,12.416666666666668
1,0,170.0,101.0,0,1,0,32.0,Graduate,12.0,8,21,0.0,11.75
2,0,117.0,111.8,0,1,1,19.0,Graduate,12.0,12,17,0.0,11.166666666666668
1,1,140.0,140.0,0,1,0,24.0,Graduate,16.0,16,16,0.0,13.385
4,1,123.0,124.4,0,1,0,19.0,Graduate,12.0,12,23,0.0,15.083333333333332
1,1,150.0,150.0,0,1,1,19.0,Graduate,12.0,12,16,0.0,14.083333333333334
1,1,140.0,140.0,0,1,0,24.0,Enrolled,12.0,11,22,0.0,12.214285714285715
4,1,123.0,116.0,0,1,1,18.0,Graduate,12.0,12,17,0.0,11.666666666666666
1,1,130.0,135.6,0,1,1,19.0,Dropout,12.0,7,19,0.0,11.666666666666668
1,1,137.0,121.0,0,1,1,19.0,Graduate,16.0,14,16,0.0,14.725714285714288
2,1,126.0,118.7,0,1,1,18.0,Graduate,12.0,12,12,0.0,13.916666666666666
1,1,125.0,125.7,0,1,0,18.0,Graduate,12.0,12,18,0.0,11.952380952380953
4,1,112.0,107.1,0,1,0,20.0,Graduate,15.0,15,15,0.0,12.81875
1,1,141.0,125.5,0,1,0,18.0,Graduate,16.0,16,20,4.0,12.86
4,1,135.0,127.0,0,1,0,18.0,Graduate,12.0,12,19,0.0,12.982142857142858
2,1,117.0,113.5,0,1,1,21.0,Graduate,10.0,9,12,0.0,12.1
1,1,160.0,154.4,0,1,1,18.0,Graduate,15.0,15,18,0.0,15.642777777777777
1,1,136.0,122.0,0,0,0,18.0,Dropout,10.0,6,12,0.0,11.375
